Id,SalePrice
1461,123595.74192581642
1462,150931.79249233956
1463,178806.643009814
1464,200434.87778799594
1465,196258.5615169657
1466,168994.24514628446
1467,186026.15234791383
1468,163649.47472012747
1469,192260.094324837
1470,117669.67831692597
1471,182872.17481883135
1472,99136.57636369934
1473,94739.15734333562
1474,148444.88009423297
1475,118824.08554723609
1476,363677.63612128026
1477,250135.89125078946
1478,294646.4617625707
1479,288636.88554933545
1480,530935.2385897185
1481,326754.88046631427
1482,202563.46509647957
1483,172223.03101178556
1484,162720.93744185736
1485,177986.26738514885
1486,189362.43106249569
1487,336375.0586938736
1488,220579.53293898745
1489,193982.76326506893
1490,235579.07972511865
1491,194422.16407960598
1492,91644.29652434537
1493,159389.29246211937
1494,280375.38010423264
1495,283285.23951653275
1496,222687.47195137912
1497,180806.0406142997
1498,190228.71068862194
1499,158994.6436155134
1500,153780.7175097274
1501,178035.3292751709
1502,156379.70730627957
1503,309951.05620110274
1504,241262.7390211975
1505,225709.18037230027
1506,186010.3636736041
1507,256810.11302875457
1508,195201.63283492735
1509,158891.41771669532
1510,144186.47861435096
1511,166316.80474110384
1512,173907.1648498341
1513,137379.52385021286
1514,160415.0438101953
1515,199405.60852306604
1516,145991.4609908813
1517,171186.82050098354
1518,128381.30188608385
1519,209470.9175042332
1520,128718.68265358298
1521,132472.66870003144
1522,175878.02483213978
1523,114435.15417187366
1524,115344.99972707537
1525,121724.36827434806
1526,110444.96402581665
1527,107523.00023561787
1528,135402.68117535513
1529,154268.75725295214
1530,202113.95277823976
1531,115262.41812907631
1532,94976.44284281334
1533,139731.8028575912
1534,122980.58162827807
1535,137246.05136205006
1536,104561.43141117183
1537,58059.7067836243
1538,136450.66792775373
1539,183772.37135911206
1540,78623.05686051851
1541,133911.62262043823
1542,153718.03454030957
1543,179471.4673364033
1544,89239.40704819161
1545,117433.75121132778
1546,138232.31827618906
1547,139942.37674357652
1548,138377.00993677136
1549,121584.9715402048
1550,133401.98605573009
1551,100443.48871784976
1552,132503.11912259695
1553,132312.5717476056
1554,118938.65007367526
1555,160012.13261496156
1556,155801.20575486246
1557,108101.24532705767
1558,104867.48782640217
1559,54252.83092668153
1560,139332.73117986714
1561,109983.43349341144
1562,133131.43683987958
1563,118955.268544354
1564,159188.46784695453
1565,144963.3814106513
1566,225674.36587699375
1567,79402.87496303528
1568,225894.64321485948
1569,126449.43781182951
1570,129602.90768539357
1571,106801.91881578647
1572,138317.27495545443
1573,217739.89916475222
1574,115146.8373240582
1575,230855.17134330448
1576,219978.30053587988
1577,175257.51332424112
1578,142610.2524565774
1579,146420.00694427526
1580,191466.89757959757
1581,156419.00939855425
1582,128024.96358556362
1583,301099.80144628405
1584,218979.05070801184
1585,137840.19103215606
1586,88211.32390499604
1587,107399.20091621854
1588,144528.64888562294
1589,101173.65779147673
1590,130589.44063266703
1591,90834.43171162758
1592,116731.81001138045
1593,126800.51415307951
1594,155801.20575486246
1595,105401.69411712978
1596,230466.0354955727
1597,199679.92421637
1598,220465.96722471173
1599,157683.48425659182
1600,146382.1004064079
1601,74310.07799922704
1602,118608.97348633932
1603,62161.2084948118
1604,258454.8678595955
1605,229644.17279455447
1606,166053.08357159034
1607,180064.64982228944
1608,202869.9829881088
1609,179007.8670714653
1610,148485.92281118626
1611,128620.69953802913
1612,172493.75455929717
1613,165567.86449687518
1614,110980.90778689818
1615,86300.80978457879
1616,77235.25984591365
1617,92133.23787616577
1618,143683.3953785606
1619,141461.52429029433
1620,145667.73175851497
1621,134877.69027890038
1622,142121.0465011936
1623,256236.06672290643
1624,205978.7613936714
1625,114260.18278374909
1626,166651.4952833531
1627,192410.81266080376
1628,271119.3307758876
1629,170027.0746747519
1630,361411.2566629565
1631,227657.07518814338
1632,241260.5532133609
1633,165704.34443362858
1634,181881.91645107119
1635,171848.14053371668
1636,155696.3753012191
1637,212359.5896578234
1638,176534.23300224275
1639,183266.4391379591
1640,237925.6261500506
1641,172895.27914350838
